fund_id,end_date,ret
HF0000000G,200912,-0.009717
HF0000000G,201001,0.002849
HF0000000G,201002,0.049362
HF0000000G,201003,0.098773
HF0000000G,201004,-0.002847
HF0000000G,201005,-0.012792
HF0000000G,201006,-0.08281
HF0000000G,201007,0.038988
HF0000000G,201008,0.046688
HF0000000G,201009,0.016225
HF0000000G,201010,0.056677
HF0000000G,201011,-0.055195
HF0000000G,201012,0.041877
HF0000000G,201101,-0.073003
HF0000000G,201102,0.039035
HF0000000G,201103,-0.034721
HF0000000G,201104,-0.007376
HF0000000G,201105,-0.050183
HF0000000G,201106,0.070947
HF0000000G,201107,0.106703
HF0000000G,201108,0.043765
HF0000000G,201109,-0.123602
HF0000000G,201110,0.059666
HF0000000G,201111,-0.073434
HF0000000G,201112,-0.114641
HF0000000G,201201,-0.148448
HF0000000G,201202,0.126565
HF0000000G,201203,0.012712
HF0000000G,201204,-0.008938
HF0000000G,201205,0.016512
HF0000000G,201206,0.00561
HF0000000G,201207,0.031074
HF0000000G,201208,0.056751
HF0000000G,201209,0.05418
HF0000000G,201210,-0.072235
HF0000000G,201211,-0.120411
HF0000000G,201212,0.194062
HF0000000G,201301,0.069959
HF0000000G,201302,0.013109
HF0000000G,201303,-0.055983
HF0000000G,201304,0.001926
HF0000000G,201305,0.076545
HF0000000G,201306,-0.049992
HF0000000G,201307,0.065778
HF0000000G,201308,0.043877
HF0000000G,201309,-0.038257
HF0000000G,201310,0.012864
HF0000000G,201311,-0.020708
HF0000000G,201312,-0.009843
HF0000000G,201401,-0.018936
HF0000000G,201402,-0.027291
HF0000000G,201403,-0.036214
HF0000000G,201404,-0.001602
HF0000000G,201405,-0.015123
HF0000000G,201406,0.036934
HF0000000G,201407,0.06961
HF0000000G,201408,0.029786
HF0000000G,201409,0.062891
HF0000000G,201410,0.03119
HF0000000G,201411,0.120952
HF0000000G,201412,0.118181
HF0000000G,201501,0.008872
HF0000000G,201502,0.060566
HF0000000G,201503,0.08965
HF0000000G,201504,0.152205
HF0000000G,201505,0.115348
HF0000000G,201506,-0.114082
HF0000000G,201507,-0.122157
HF0000000G,201508,-0.032604
HF0000000G,201509,0.016933
HF0000000G,201510,0.124109
HF0000000G,201511,0.032701
HF0000000G,201512,0.07442
HF0000000G,201601,-0.213768
HF0000000G,201602,-0.03065
HF0000000G,201603,0.093626
HF0000000G,201604,0.027275
HF0000000G,201605,0.018431
HF0000000G,201606,0.053412
HF0000000G,201607,0.063658
HF0000000G,201608,0.009429
HF0000000G,201609,-0.02759
HF0000000G,201610,0.039981
HF0000000G,201611,0.0582
HF0000000G,201612,-0.041865
HF0000000G,201701,0.031168
HF0000000G,201702,0.027854
HF0000000G,201703,0.058934
